Rank,Titel,year,Audience(million)
1,战狼2,2017,160
2,哪吒之魔童降世,2019,140
3,流浪地球,2019,105
4,复仇者联盟4：终局之战,2019,87
5,红海行动,2018,93
6,唐人街探案2,2018,88
7,美人魚,2016,93
8,我和我的祖国,2019,83
9,我不是药神,2018,89
10,中国机长,2019,78
11,速度与激情8,2017,73
12,西虹市首富,2018,73
13,捉妖记,2015,66
14,速度与激情7,2015,62
15,复仇者联盟3：无限战争,2018,63
16,捉妖记2,2018,58
17,疯狂的外星人,2019,53
18,羞羞的铁拳,2017,66
19,海王,2018,55
20,变形金刚4：绝迹重生,2014,47
21,前任3：再见前任,2017,55
22,毒液：致命守护者,2018,53
23,功夫瑜伽,2017,46
24,飞驰人生,2019,41
25,烈火英雄,2019,48
26,侏罗纪世界2,2018,48
27,寻龙诀,2015,46
28,西游伏妖篇,2017,42
29,港囧,2015,49
30,少年的你,2019,43
31,变形金刚5：最后的骑士,2017,42
32,疯狂动物城,2016,45
33,魔兽,2016,40
34,复仇者联盟2：奥创纪元,2015,37
35,夏洛特烦恼,2015,45
36,速度与激情：特别行动,2019,40
37,芳华,2017,42
38,侏罗纪世界,2015,37
39,蜘蛛侠：英雄远征,2019,39
40,头号玩家,2018,38
41,後來的我們,2018,40
42,一出好戏,2018,39
43,阿凡达,2010,27
44,扫毒2天地对决,2019,36
45,摔跤吧！爸爸,2017,43
46,无双,2018,36
47,人再囧途之泰囧,2012,39
48,西游·降魔篇,2013,31
49,美国队长3：英雄内战,2016,36
50,碟中谍6：全面瓦解,2018,34